Record_ID,Timestamp,Plant_Location,Production_Line,Machine_ID,Machine_Name,Machine_Type,Manufacturer,Model,Year_Installed,Operating_Hours,Motor_Temp_C,Ambient_Temp_C,Vibration_mm_s,RPM,Power_Draw_kW,Conveyor_Speed_m_min,Pressure_PSI,Hydraulic_Fluid_Temp_C,Noise_Level_dB,Product_Type,Batch_ID,Units_Produced,Defect_Count,Defect_Rate_Pct,Downtime_Minutes,Last_Maintenance_Date,Maintenance_Type,Days_Since_Maintenance,Firmware_Version,Sensor_Status,Error_Code,Error_Description,Operator_ID,Shift,Throughput_Units_Hr,OEE_Pct,Severity_Level,Severity_Description,Corrective_Action
REC-00482,2025-03-31 02:18:31,Vaughan-North,PKG-Line-G,VAU-QC-5500-04,Vision Inspection System,Quality Control,Cognex,In-Sight 9000,2021,7399,44.6,28.8,2.44,3257,16.7,3.5,128.1,38.5,66.8,Artisan Sourdough,B-20250331-3840,21502,124,0.58,0,2024-07-22,Lubrication,252,v3.2.1,All Normal,E1001,Minor vibration threshold exceeded,OP-1004,Afternoon (2PM-10PM),2688,97.9,1,Normal Operation,Monitor during next shift
REC-00456,2025-04-01 10:10:19,Toronto-Main,PKG-Line-D,TOR-MIX-3200-01,High-Speed Batter Blender,Mixing,Shaffer,BM-2400,2020,16760,60.7,27.3,2.84,3253,53.7,27.9,136.1,62.2,76.5,Muffins,B-20250401-3429,7254,83,1.15,5,2024-10-17,Emergency,166,v4.0.2,Degraded — Sensor #2,E1004,Filter change indicator active,OP-1002,Night (10PM-6AM),916,89.3,1,Normal Operation,Replace filter at next maintenance window
REC-00296,2025-04-02 12:25:12,Mississauga-East,TRT-Line-A,MIS-SLC-2100-02,Ultrasonic Slicer,Slicing,Bettendorf Stanford,UltraCut,2019,8449,51.4,29.4,1.84,2899,24.1,7.3,98.5,36.2,82.1,Artisan Sourdough,B-20250402-5278,779,7,1.01,0,2025-01-31,Emergency,61,v5.0.0,All Normal,E0000,No fault detected,OP-1026,Afternoon (2PM-10PM),97,86.8,1,Normal Operation,None required
REC-00434,2025-04-05 01:03:55,Toronto-Main,PAS-Line-C,TOR-CLR-8100-03,Spiral Cooler,Cooling,IJ White,Ultra Spiral,2018,25388,43.9,23.5,0.64,817,13.5,4.6,114.5,58.5,73.6,Tortillas,B-20250405-6658,15508,26,0.17,0,2024-09-03,Overhaul,214,v6.0.1,All Normal,E1005,Belt tension marginal,OP-1005,Afternoon (2PM-10PM),1938,90.5,1,Normal Operation,Inspect belt at next downtime
REC-00095,2025-04-07 01:32:49,Mississauga-East,TRT-Line-A,MIS-OVN-6300-03,Spiral Oven,Baking,Spooner,QuadraTherm,2020,9724,46.2,23.4,1.07,860,79.4,17.0,139.5,71.9,68.5,Donuts,B-20250407-9022,9964,57,0.58,10,2024-12-05,Predictive,123,v4.0.2,All Normal,E1002,Slight temperature drift detected,OP-1029,Night (10PM-6AM),1272,84.2,1,Normal Operation,Recalibrate sensor at next PM
REC-00325,2025-04-08 19:47:30,Milton-South,CKE-Line-B,MIL-QC-5500-01,Vision Inspection System,Quality Control,Cognex,In-Sight 9000,2021,18275,54.8,31.8,2.28,1542,16.0,16.3,109.4,59.8,65.9,Whole Wheat Bread,B-20250408-4081,5142,44,0.87,0,2024-11-05,Emergency,154,v4.1.1,Degraded — Sensor #5,E1004,Filter change indicator active,OP-1039,Night (10PM-6AM),643,90.4,1,Normal Operation,Replace filter at next maintenance window
REC-00102,2025-04-09 21:02:50,Brampton-West,PKG-Line-E,BRA-OVN-6300-02,Spiral Oven,Baking,Spooner,QuadraTherm,2020,6483,48.2,26.6,3.39,1912,97.3,4.4,33.1,63.9,76.8,Flatbread,B-20250409-6759,14570,136,0.94,0,2024-07-11,Lubrication,272,v4.0.2,Offline — Sensor #1,E1002,Slight temperature drift detected,OP-1018,Night (10PM-6AM),1821,96.7,1,Normal Operation,Recalibrate sensor at next PM
REC-00171,2025-04-10 10:17:23,Toronto-Main,PKG-Line-D,TOR-SLC-2200-05,Band Slicer,Slicing,Grote,S/A Slicer,2017,17152,47.4,27.0,2.74,3493,20.4,9.4,74.9,40.8,80.3,Tortillas,B-20250410-5664,21748,128,0.59,0,2025-04-06,Emergency,4,v5.2.0,Offline — Sensor #1,E1003,Lubrication reminder triggered,OP-1005,Morning (6AM-2PM),2718,93.4,1,Normal Operation,Schedule lubrication
REC-00197,2025-04-11 11:23:55,Mississauga-East,ICE-Line-C,MIS-MIX-3100-01,Industrial Dough Mixer,Mixing,VMI,Phebus K1600,2018,46946,60.0,24.6,1.28,245,59.8,15.5,101.5,70.1,75.7,English Muffins,B-20250411-8577,14064,175,1.25,15,2024-10-22,Preventive,171,v5.0.0,All Normal,E0000,No fault detected,OP-1036,Night (10PM-6AM),1815,89.7,1,Normal Operation,None required
REC-00050,2025-04-15 09:57:50,Milton-South,CKE-Line-A,MIL-PKG-0400-05,Labeling System,Packaging,Videojet,9550,2020,6862,36.7,25.1,3.83,1995,10.5,28.7,116.1,31.8,83.2,Muffins,B-20250415-6267,20324,24,0.12,0,2024-11-07,Inspection,159,v4.0.2,All Normal,E0000,No fault detected,OP-1029,Morning (6AM-2PM),2540,91.8,1,Normal Operation,None required
REC-00189,2025-04-16 05:38:13,Vaughan-North,FRY-Line-C,VAU-PRF-7100-02,Continuous Proofer,Proofing,Auto-Bake,SerpSystem,2019,8997,53.2,23.0,2.95,2918,23.4,5.8,130.0,51.1,78.0,Donuts,B-20250416-7348,16603,147,0.89,0,2025-02-07,Inspection,68,v4.0.2,Degraded — Sensor #5,E1004,Filter change indicator active,OP-1013,Morning (6AM-2PM),2075,93.0,1,Normal Operation,Replace filter at next maintenance window
REC-00337,2025-04-17 19:14:24,Toronto-Main,BRD-Line-A,TOR-MIX-3100-05,Industrial Dough Mixer,Mixing,VMI,Phebus K1600,2018,52493,57.3,20.9,2.86,1673,41.4,5.0,101.8,57.1,65.8,Muffins,B-20250417-4160,23590,214,0.91,0,2025-02-09,Inspection,67,v3.4.0,Degraded — Sensor #2,E1005,Belt tension marginal,OP-1035,Night (10PM-6AM),2949,92.4,1,Normal Operation,Inspect belt at next downtime
REC-00419,2025-04-19 23:11:53,Milton-South,PKG-Line-F,MIL-DEP-1200-05,Piston Depositor,Depositing,Hinds-Bock,4P-16,2018,37456,52.8,19.4,0.91,3364,18.2,20.1,69.8,55.9,82.1,Tortillas,B-20250419-8756,7358,23,0.32,0,2024-05-25,Predictive,329,v3.2.1,Offline — Sensor #1,E1001,Minor vibration threshold exceeded,OP-1014,Morning (6AM-2PM),920,86.2,1,Normal Operation,Monitor during next shift
REC-00218,2025-04-22 10:21:58,Toronto-Main,PKG-Line-D,TOR-PRF-7200-05,Retarder Proofer,Proofing,Revent,RPM-7020,2017,6191,36.9,19.7,1.31,2902,23.0,5.8,128.7,65.7,80.3,Donuts,B-20250422-6496,2571,13,0.51,15,2025-02-26,Corrective,55,v5.0.0,Degraded — Sensor #5,E1003,Lubrication reminder triggered,OP-1049,Afternoon (2PM-10PM),332,88.4,1,Normal Operation,Schedule lubrication
REC-00304,2025-04-23 23:09:40,Vaughan-North,DON-Line-A,VAU-MIX-3100-01,Industrial Dough Mixer,Mixing,VMI,Phebus K1600,2018,52620,71.2,18.2,5.43,3460,51.6,20.7,48.7,69.7,99.9,Donuts,B-20250423-3736,1942,35,1.82,68,2024-10-11,Calibration,194,v3.4.0,Degraded — Sensor #5,E2004,Excessive product defects detected,OP-1021,Night (10PM-6AM),283,55.8,2,Degraded Performance,Halt line — recalibrate depositor heads
REC-00120,2025-04-24 00:14:52,Vaughan-North,PKG-Line-G,VAU-WTR-7700-03,Reverse Osmosis Unit,Water Treatment,Pentair,RO-4800,2017,7972,46.1,24.5,2.03,1026,48.1,17.8,39.6,61.3,66.9,Brioche,B-20250424-9871,14065,39,0.28,0,2024-05-30,Overhaul,329,v3.2.1,All Normal,E1002,Slight temperature drift detected,OP-1034,Afternoon (2PM-10PM),1758,86.2,1,Normal Operation,Recalibrate sensor at next PM
REC-00290,2025-04-24 12:12:58,Mississauga-East,ICE-Line-C,MIS-SLC-2200-03,Band Slicer,Slicing,Grote,S/A Slicer,2017,2529,36.7,20.7,2.53,920,23.9,7.6,28.9,38.5,74.5,Pita,B-20250424-6425,19453,243,1.25,0,2024-08-01,Lubrication,266,v5.0.0,All Normal,E1002,Slight temperature drift detected,OP-1022,Morning (6AM-2PM),2432,88.8,1,Normal Operation,Recalibrate sensor at next PM
REC-00054,2025-04-25 17:47:57,Vaughan-North,DON-Line-B,VAU-CNV-1300-05,Modular Belt Conveyor,Conveying,Intralox,Series 2400,2018,30874,75.1,19.9,6.51,1124,6.7,15.5,68.3,72.0,97.8,Danish Pastry,B-20250425-3042,9840,203,2.07,40,2024-08-31,Corrective,237,v4.0.2,Degraded — Sensor #5,E2007,Servo motor position error,OP-1029,Night (10PM-6AM),1342,76.6,2,Degraded Performance,Recalibrate servo — check encoder
REC-00422,2025-04-27 04:12:14,Milton-South,CKE-Line-A,MIL-CNV-1300-03,Modular Belt Conveyor,Conveying,Intralox,Series 2400,2018,34951,54.4,18.8,3.07,2443,9.6,26.2,140.6,74.9,77.6,Pound Cake,B-20250427-3847,16013,96,0.6,0,2025-04-20,Corrective,7,v3.2.1,All Normal,E0000,No fault detected,OP-1002,Night (10PM-6AM),2002,86.4,1,Normal Operation,None required
REC-00017,2025-04-27 05:16:35,Brampton-West,BUN-Line-B,BRA-PRF-7100-01,Continuous Proofer,Proofing,Auto-Bake,SerpSystem,2019,5028,123.2,27.7,9.24,2124,24.4,6.1,109.4,105.7,101.5,Hot Dog Buns,B-20250427-7965,7670,656,8.56,709,2024-12-22,Predictive,126,v6.0.1,Offline — Sensor #1,E3010,Food safety contamination alarm,OP-1036,Morning (6AM-2PM),7670,10.7,3,Critical Failure,Full line quarantine — QA investigation required
REC-00174,2025-04-29 20:16:49,Milton-South,CKE-Line-B,MIL-DIV-4100-05,Volumetric Dough Divider,Dividing/Portioning,AMF Bakery,Flex Divider,2019,36139,41.0,21.3,4.05,1878,26.8,6.7,55.9,35.4,80.8,White Bread,B-20250429-1688,19540,254,1.3,0,2025-02-25,Inspection,63,v4.0.2,All Normal,E1004,Filter change indicator active,OP-1050,Morning (6AM-2PM),2442,97.6,1,Normal Operation,Replace filter at next maintenance window
REC-00414,2025-04-29 23:16:32,Milton-South,PKG-Line-F,MIL-ING-8800-01,Ingredient Dosing System,Ingredient Handling,Brabender,FlexWall Plus,2020,21801,42.9,21.1,3.12,1764,20.7,15.5,138.0,54.0,69.9,White Bread,B-20250429-9143,24340,172,0.71,0,2024-12-09,Calibration,141,v5.1.3,Degraded — Sensor #2,E1001,Minor vibration threshold exceeded,OP-1029,Morning (6AM-2PM),3042,88.9,1,Normal Operation,Monitor during next shift
REC-00004,2025-05-03 20:02:30,Brampton-West,PKG-Line-E,BRA-DEC-3300-04,Robotic Decorator,Decorating,ABB,IRB 360,2021,11363,57.4,32.0,2.21,2187,24.9,23.2,131.9,36.9,68.2,Naan,B-20250503-2040,13108,115,0.88,0,2024-12-18,Calibration,136,v6.0.1,All Normal,E1004,Filter change indicator active,OP-1036,Morning (6AM-2PM),1638,85.5,1,Normal Operation,Replace filter at next maintenance window
REC-00230,2025-05-06 20:40:00,Mississauga-East,TRT-Line-B,MIS-QC-5600-03,Metal Detector,Quality Control,Mettler-Toledo,Safeline,2019,26226,55.0,20.3,4.41,1335,6.2,2.7,141.0,64.6,84.0,English Muffins,B-20250506-3556,640,1,0.22,0,2025-01-31,Lubrication,95,v5.0.0,All Normal,E0000,No fault detected,OP-1019,Night (10PM-6AM),80,90.6,1,Normal Operation,None required
REC-00232,2025-05-08 14:52:11,Mississauga-East,TRT-Line-A,MIS-CNV-1300-04,Modular Belt Conveyor,Conveying,Intralox,Series 2400,2018,11695,35.4,19.2,1.88,3081,9.9,22.8,74.0,49.9,68.3,Naan,B-20250508-7786,5073,23,0.46,0,2024-10-01,Corrective,219,v4.0.2,Offline — Sensor #1,E1005,Belt tension marginal,OP-1020,Afternoon (2PM-10PM),634,96.0,1,Normal Operation,Inspect belt at next downtime
REC-00406,2025-05-09 21:27:35,Brampton-West,BUN-Line-B,BRA-DIV-4100-02,Volumetric Dough Divider,Dividing/Portioning,AMF Bakery,Flex Divider,2019,30215,38.0,21.1,1.64,793,26.2,27.7,148.5,63.9,83.5,Tortillas,B-20250509-3310,3644,6,0.18,0,2024-08-16,Overhaul,266,v4.0.2,All Normal,E1005,Belt tension marginal,OP-1039,Morning (6AM-2PM),456,89.8,1,Normal Operation,Inspect belt at next downtime
REC-00062,2025-05-11 11:05:44,Milton-South,CKE-Line-A,MIL-FRY-9900-03,Continuous Fryer,Frying,Heat and Control,MasterFryer,2018,60414,83.8,21.3,7.05,2123,78.2,17.5,68.0,66.2,93.8,Hamburger Buns,B-20250511-2077,10634,204,1.92,40,2024-12-08,Calibration,154,v6.0.1,Offline — Sensor #1,E2003,Conveyor belt misalignment detected,OP-1050,Afternoon (2PM-10PM),1450,76.4,2,Degraded Performance,Realign belt and inspect rollers
REC-00195,2025-05-16 11:40:15,Milton-South,PKG-Line-F,MIL-SHT-5100-04,Dough Sheeter,Sheeting/Laminating,Rademaker,Sigma Laminator,2021,57267,39.0,20.9,3.28,956,26.7,5.1,114.9,58.3,84.7,Pound Cake,B-20250516-5705,14493,59,0.41,5,2024-08-07,Lubrication,282,v5.0.0,All Normal,E1007,Minor speed fluctuation logged,OP-1009,Night (10PM-6AM),1831,88.6,1,Normal Operation,Log and monitor
REC-00100,2025-05-16 13:17:06,Milton-South,MIX-Line-C,MIL-OVN-6300-05,Spiral Oven,Baking,Spooner,QuadraTherm,2020,57864,61.4,30.0,7.76,1907,89.6,29.8,75.6,74.8,102.7,Bagels,B-20250516-3604,9479,419,4.43,17,2024-09-09,Corrective,249,v5.1.3,Degraded — Sensor #5,E2001,Motor overheating — thermal cutoff warning,OP-1006,Afternoon (2PM-10PM),1228,58.4,2,Degraded Performance,Reduce load and inspect cooling system
REC-00192,2025-05-17 11:29:51,Vaughan-North,DON-Line-A,VAU-CLR-8100-04,Spiral Cooler,Cooling,IJ White,Ultra Spiral,2018,40686,62.7,28.1,5.94,606,15.6,21.8,102.4,33.8,97.7,Danish Pastry,B-20250517-3619,12908,486,3.77,106,2024-05-17,Calibration,365,v3.2.1,Degraded — Sensor #2,E2008,Oven zone temperature inconsistency,OP-1022,Night (10PM-6AM),2071,76.5,2,Degraded Performance,Inspect heating elements and thermocouples
REC-00306,2025-05-18 20:48:15,Vaughan-North,DON-Line-B,VAU-PKG-0300-02,Palletizer Robot,Packaging,FANUC,M-410iC,2021,43638,37.0,27.0,0.57,1052,50.1,21.7,21.7,31.0,80.2,Hot Dog Buns,B-20250518-6060,8246,112,1.37,0,2024-05-30,Calibration,353,v4.1.1,Degraded — Sensor #2,E1007,Minor speed fluctuation logged,OP-1004,Morning (6AM-2PM),1031,88.1,1,Normal Operation,Log and monitor
REC-00341,2025-05-19 07:16:30,Toronto-Main,BRD-Line-A,TOR-PKG-0400-02,Labeling System,Packaging,Videojet,9550,2020,49872,51.1,28.4,4.42,1664,12.7,9.2,101.4,57.2,69.1,Pita,B-20250519-4614,11125,130,1.17,10,2024-12-26,Emergency,144,v4.1.1,All Normal,E0000,No fault detected,OP-1010,Afternoon (2PM-10PM),1420,83.7,1,Normal Operation,None required
REC-00222,2025-05-21 15:05:26,Brampton-West,BUN-Line-A,BRA-DEP-1100-04,Servo Depositor,Depositing,Unifiller,Multi-Station,2020,59008,37.2,31.0,2.84,1963,12.1,12.5,79.5,38.7,72.2,Tortillas,B-20250521-4313,11506,9,0.08,0,2025-02-07,Predictive,103,v3.2.1,All Normal,E1003,Lubrication reminder triggered,OP-1018,Morning (6AM-2PM),1438,84.3,1,Normal Operation,Schedule lubrication
REC-00016,2025-05-21 16:58:48,Vaughan-North,FRY-Line-C,VAU-OVN-6300-02,Spiral Oven,Baking,Spooner,QuadraTherm,2020,29554,112.7,20.9,13.12,3318,109.0,20.3,80.4,87.7,85.3,Pound Cake,B-20250521-3780,22089,2215,10.03,120,2024-06-14,Corrective,341,v5.0.0,Multiple Sensors Offline,E3003,PLC controller unresponsive,OP-1006,Morning (6AM-2PM),3682,16.7,3,Critical Failure,Replace PLC module — full system restart
REC-00229,2025-05-21 21:35:05,Vaughan-North,PKG-Line-G,VAU-QC-5700-03,Checkweigher,Quality Control,Ishida,DACS-G,2020,39175,65.2,18.7,5.56,1546,10.0,28.8,100.4,37.2,93.4,Donuts,B-20250521-3873,23703,756,3.19,51,2025-03-14,Predictive,68,v4.0.2,Degraded — Sensor #2,E2005,Gearbox noise anomaly,OP-1008,Morning (6AM-2PM),3315,75.8,2,Degraded Performance,Inspect gearbox — replace bearings if worn
REC-00254,2025-05-23 21:05:01,Milton-South,CKE-Line-B,MIL-SHT-5200-04,Croissant Laminator,Sheeting/Laminating,Fritsch,CTL-800,2019,26091,63.3,27.1,4.04,2666,33.5,4.5,80.1,41.8,82.0,Whole Wheat Bread,B-20250523-7570,20750,70,0.34,0,2025-02-18,Calibration,94,v5.0.0,Degraded — Sensor #5,E1006,Sensor reading intermittent,OP-1006,Afternoon (2PM-10PM),2594,96.8,1,Normal Operation,Clean sensor housing
REC-00039,2025-05-24 12:57:37,Mississauga-East,TRT-Line-B,MIS-SHT-5100-04,Dough Sheeter,Sheeting/Laminating,Rademaker,Sigma Laminator,2021,61597,38.5,21.3,0.68,2301,19.5,14.7,107.2,63.4,83.9,Naan,B-20250524-3531,14094,8,0.06,0,2024-05-30,Corrective,359,v6.0.1,All Normal,E1006,Sensor reading intermittent,OP-1018,Morning (6AM-2PM),1762,83.9,1,Normal Operation,Clean sensor housing
REC-00289,2025-05-24 19:56:48,Mississauga-East,TRT-Line-B,MIS-OVN-6100-01,Tunnel Oven,Baking,GEA,ThermoGlide 3000,2016,2805,83.7,23.0,5.16,2071,117.4,14.4,51.6,65.9,81.5,Bagels,B-20250524-8140,17314,607,3.51,96,2024-07-23,Lubrication,305,v5.0.0,Degraded — Sensor #2,E2010,CIP cycle incomplete — residue detected,OP-1010,Afternoon (2PM-10PM),2705,68.7,2,Degraded Performance,Re-run CIP cycle and inspect spray nozzles
REC-00287,2025-05-26 10:23:02,Milton-South,CKE-Line-A,MIL-OVN-6100-01,Tunnel Oven,Baking,GEA,ThermoGlide 3000,2016,33455,83.9,21.3,9.61,1495,124.1,25.0,87.6,40.7,81.8,Pita,B-20250526-2567,20991,932,4.44,46,2024-10-16,Inspection,222,v3.4.0,All Normal,E2010,CIP cycle incomplete — residue detected,OP-1004,Morning (6AM-2PM),2902,57.9,2,Degraded Performance,Re-run CIP cycle and inspect spray nozzles
REC-00083,2025-05-27 10:16:09,Brampton-West,PKG-Line-E,BRA-DEP-1100-04,Servo Depositor,Depositing,Unifiller,Multi-Station,2020,38086,96.6,28.3,21.97,1542,15.6,22.2,83.5,106.7,93.6,Whole Wheat Bread,B-20250527-9584,1608,235,14.63,622,2024-06-25,Corrective,336,v3.2.1,Offline — Sensor #1,E3006,Oven heating element failure — complete,OP-1027,Morning (6AM-2PM),1608,25.3,3,Critical Failure,Shut down oven — replace element bank
REC-00418,2025-05-27 21:53:49,Brampton-West,BUN-Line-B,BRA-ING-8900-04,Flour Sifter,Ingredient Handling,Kason,Vibroscreen,2016,2643,49.1,19.3,4.47,1978,13.5,3.7,80.9,37.0,72.0,Artisan Sourdough,B-20250527-4703,11803,1,0.01,0,2024-12-15,Preventive,163,v4.1.1,All Normal,E1002,Slight temperature drift detected,OP-1019,Afternoon (2PM-10PM),1475,85.2,1,Normal Operation,Recalibrate sensor at next PM
REC-00081,2025-05-28 01:05:48,Toronto-Main,PKG-Line-D,TOR-CNV-1300-01,Modular Belt Conveyor,Conveying,Intralox,Series 2400,2018,37103,55.2,26.2,2.91,2850,8.3,15.4,133.0,45.0,84.1,White Bread,B-20250528-4470,6726,88,1.31,0,2025-02-19,Corrective,98,v6.0.1,Offline — Sensor #1,E1006,Sensor reading intermittent,OP-1045,Night (10PM-6AM),841,94.9,1,Normal Operation,Clean sensor housing
REC-00203,2025-05-28 03:31:07,Milton-South,PKG-Line-F,MIL-WTR-7700-01,Reverse Osmosis Unit,Water Treatment,Pentair,RO-4800,2017,6283,48.8,25.1,1.18,1761,47.6,24.3,62.4,59.2,80.8,Artisan Sourdough,B-20250528-8552,13633,156,1.15,10,2024-09-26,Calibration,244,v4.1.1,Offline — Sensor #1,E1007,Minor speed fluctuation logged,OP-1036,Morning (6AM-2PM),1740,91.2,1,Normal Operation,Log and monitor
REC-00119,2025-05-29 08:06:02,Brampton-West,BUN-Line-B,BRA-DEC-3400-05,Icing Applicator,Decorating,FLM,SprayMaster 200,2020,49319,43.9,20.2,0.88,1577,8.4,4.5,127.1,58.1,74.6,Hot Dog Buns,B-20250529-1421,7281,42,0.59,5,2024-08-25,Predictive,277,v5.0.0,Degraded — Sensor #2,E1004,Filter change indicator active,OP-1031,Morning (6AM-2PM),920,95.4,1,Normal Operation,Replace filter at next maintenance window
REC-00117,2025-05-29 10:51:13,Toronto-Main,BRD-Line-B,TOR-PKG-0400-03,Labeling System,Packaging,Videojet,9550,2020,13002,84.6,21.7,8.02,1122,12.8,11.8,122.3,62.4,81.2,Pita,B-20250529-7875,5950,240,4.05,57,2024-07-07,Calibration,326,v6.0.1,Offline — Sensor #1,E2002,Hydraulic pressure out of range,OP-1023,Night (10PM-6AM),844,67.1,2,Degraded Performance,Check hydraulic lines and seals
REC-00069,2025-05-29 13:30:25,Toronto-Main,PKG-Line-D,TOR-PKG-0100-01,Flow Wrapper,Packaging,Bosch,Pack 401,2020,41119,56.6,28.8,2.83,1657,22.1,21.1,24.1,72.7,67.2,White Bread,B-20250529-8225,10779,28,0.26,15,2024-09-28,Calibration,243,v4.0.2,All Normal,E1003,Lubrication reminder triggered,OP-1045,Morning (6AM-2PM),1391,93.5,1,Normal Operation,Schedule lubrication
REC-00209,2025-05-29 23:44:14,Vaughan-North,FRY-Line-C,VAU-SLC-2200-03,Band Slicer,Slicing,Grote,S/A Slicer,2017,12977,56.8,26.0,2.75,2788,28.5,24.6,101.2,42.9,66.7,Danish Pastry,B-20250529-2259,9604,8,0.09,0,2025-05-10,Emergency,19,v4.0.2,All Normal,E1004,Filter change indicator active,OP-1018,Afternoon (2PM-10PM),1200,91.3,1,Normal Operation,Replace filter at next maintenance window
REC-00147,2025-05-30 07:14:44,Toronto-Main,BRD-Line-A,TOR-SHT-5100-01,Dough Sheeter,Sheeting/Laminating,Rademaker,Sigma Laminator,2021,13664,62.3,18.2,2.13,2857,19.3,2.2,113.6,32.8,79.9,Whole Wheat Bread,B-20250530-2189,12221,83,0.68,0,2025-01-21,Corrective,129,v5.0.0,All Normal,E1003,Lubrication reminder triggered,OP-1039,Morning (6AM-2PM),1528,88.9,1,Normal Operation,Schedule lubrication
REC-00214,2025-05-31 18:16:02,Toronto-Main,PAS-Line-C,TOR-DEP-1200-02,Piston Depositor,Depositing,Hinds-Bock,4P-16,2018,30873,53.3,24.0,1.21,2614,19.5,27.6,113.0,34.6,66.5,Tortillas,B-20250531-8305,1114,8,0.74,0,2025-04-25,Inspection,36,v4.0.2,All Normal,E1003,Lubrication reminder triggered,OP-1003,Night (10PM-6AM),139,90.7,1,Normal Operation,Schedule lubrication
REC-00318,2025-05-31 23:43:29,Brampton-West,BUN-Line-A,BRA-PKG-0300-04,Palletizer Robot,Packaging,FANUC,M-410iC,2021,61648,59.3,22.8,1.39,2525,63.1,22.8,35.1,46.5,82.1,Flatbread,B-20250531-1027,10684,18,0.17,0,2024-11-16,Preventive,196,v4.1.1,All Normal,E1006,Sensor reading intermittent,OP-1028,Afternoon (2PM-10PM),1336,83.8,1,Normal Operation,Clean sensor housing
REC-00440,2025-06-02 22:28:02,Vaughan-North,DON-Line-B,VAU-OVN-6100-04,Tunnel Oven,Baking,GEA,ThermoGlide 3000,2016,40021,47.3,25.0,3.05,429,95.4,22.5,142.9,44.6,70.0,Pound Cake,B-20250602-2490,12633,117,0.93,0,2024-07-02,Preventive,335,v5.2.0,Offline — Sensor #1,E1006,Sensor reading intermittent,OP-1011,Afternoon (2PM-10PM),1579,91.8,1,Normal Operation,Clean sensor housing
REC-00167,2025-06-03 20:54:00,Milton-South,MIX-Line-C,MIL-CNV-1300-05,Modular Belt Conveyor,Conveying,Intralox,Series 2400,2018,38535,38.6,27.1,3.97,2305,6.4,23.8,66.2,60.3,74.7,Pita,B-20250603-2284,12986,186,1.44,0,2025-01-22,Emergency,132,v6.0.1,Degraded — Sensor #5,E1006,Sensor reading intermittent,OP-1011,Night (10PM-6AM),1623,91.2,1,Normal Operation,Clean sensor housing
REC-00090,2025-06-03 23:52:15,Vaughan-North,DON-Line-B,VAU-PKG-0100-03,Flow Wrapper,Packaging,Bosch,Pack 401,2020,41532,40.3,26.1,2.09,1092,25.1,9.8,122.2,46.4,83.6,Muffins,B-20250603-9939,6395,30,0.48,15,2024-06-12,Preventive,356,v6.0.1,Offline — Sensor #1,E1005,Belt tension marginal,OP-1029,Afternoon (2PM-10PM),825,89.9,1,Normal Operation,Inspect belt at next downtime
REC-00351,2025-06-05 03:17:24,Toronto-Main,BRD-Line-B,TOR-SLC-2200-02,Band Slicer,Slicing,Grote,S/A Slicer,2017,37492,57.7,21.4,1.74,448,28.3,17.8,93.3,65.6,65.9,English Muffins,B-20250605-2527,10612,88,0.83,15,2025-04-11,Preventive,55,v5.1.3,All Normal,E0000,No fault detected,OP-1026,Night (10PM-6AM),1369,96.9,1,Normal Operation,None required
REC-00019,2025-06-05 17:18:13,Milton-South,CKE-Line-A,MIL-OVN-6300-02,Spiral Oven,Baking,Spooner,QuadraTherm,2020,17155,36.9,29.7,2.13,1695,99.4,18.4,110.4,68.6,80.3,Flatbread,B-20250605-8814,693,5,0.81,0,2024-11-20,Lubrication,197,v5.0.0,All Normal,E1003,Lubrication reminder triggered,OP-1027,Night (10PM-6AM),87,83.0,1,Normal Operation,Schedule lubrication
REC-00315,2025-06-06 19:30:03,Milton-South,MIX-Line-C,MIL-PKG-0200-02,Case Packer,Packaging,Brenton,M2000,2019,63668,53.3,30.2,4.4,1745,36.3,26.9,38.1,57.1,82.4,Tortillas,B-20250606-5072,12572,164,1.31,0,2024-12-03,Inspection,185,v6.0.1,All Normal,E1006,Sensor reading intermittent,OP-1043,Morning (6AM-2PM),1572,82.0,1,Normal Operation,Clean sensor housing
REC-00002,2025-06-06 21:09:15,Toronto-Main,BRD-Line-A,TOR-CNV-1400-01,Incline Conveyor,Conveying,Dorner,AquaPruf 7400,2019,25526,56.9,22.1,2.64,2674,10.7,26.1,95.1,61.7,65.9,Cinnamon Rolls,B-20250606-5741,3114,45,1.46,0,2024-12-11,Overhaul,177,v3.4.0,All Normal,E0000,No fault detected,OP-1018,Afternoon (2PM-10PM),389,83.3,1,Normal Operation,None required
REC-00168,2025-06-08 02:44:52,Vaughan-North,PKG-Line-G,VAU-SHT-5100-01,Dough Sheeter,Sheeting/Laminating,Rademaker,Sigma Laminator,2021,12616,54.6,24.2,3.34,1587,28.7,16.6,78.5,37.5,82.1,Croissants,B-20250608-4844,22193,201,0.91,0,2024-12-14,Emergency,176,v3.4.0,Offline — Sensor #1,E1005,Belt tension marginal,OP-1011,Afternoon (2PM-10PM),2774,86.3,1,Normal Operation,Inspect belt at next downtime
